,codigo_autor,codigo_coautor,num_publicaciones
319,0000-0001-9530-0820,0000-0003-2011-2790,12
320,0000-0003-2225-6675,0000-0002-2794-5261,30
321,0000-0002-2794-5261,0000-0003-2225-6675,30
322,0000-0003-2225-6675,0000-0003-1337-7897,11
323,0000-0003-1337-7897,0000-0003-2225-6675,11
324,0000-0001-6350-0641,0000-0002-7804-4068,5
325,0000-0002-7804-4068,0000-0001-6350-0641,5
326,0000-0003-3704-1941,0000-0001-8818-0568,1
327,0000-0001-8818-0568,0000-0003-3704-1941,1
328,0000-0003-0114-7808,0000-0002-7699-0173,1
329,0000-0002-7699-0173,0000-0003-0114-7808,1
330,0000-0002-1589-2254,0000-0001-9999-5359,19
331,0000-0001-9999-5359,0000-0002-1589-2254,19
332,0000-0003-3801-7249,0000-0002-7688-6448,1
333,0000-0003-3801-7249,0000-0002-5333-4771,1
334,0000-0003-3801-7249,0000-0002-3461-230X,1
335,0000-0003-3801-7249,0000-0002-0903-494X,1
336,0000-0002-7688-6448,0000-0003-3801-7249,1
337,0000-0002-7688-6448,0000-0002-5333-4771,1
338,0000-0002-7688-6448,0000-0002-3461-230X,1
339,0000-0002-7688-6448,0000-0002-0903-494X,2
340,0000-0002-5333-4771,0000-0003-3801-7249,1
341,0000-0002-5333-4771,0000-0002-7688-6448,1
342,0000-0002-5333-4771,0000-0002-3461-230X,8
343,0000-0002-5333-4771,0000-0002-0903-494X,1
344,0000-0002-3461-230X,0000-0003-3801-7249,1
345,0000-0002-3461-230X,0000-0002-7688-6448,1
346,0000-0002-3461-230X,0000-0002-5333-4771,8
347,0000-0002-3461-230X,0000-0002-0903-494X,1
348,0000-0002-0903-494X,0000-0003-3801-7249,1
349,0000-0002-0903-494X,0000-0002-7688-6448,2
350,0000-0002-0903-494X,0000-0002-5333-4771,1
351,0000-0002-0903-494X,0000-0002-3461-230X,1
352,0000-0002-8484-0618,0000-0002-2542-3582,1
353,0000-0002-2542-3582,0000-0002-8484-0618,1
354,0000-0002-8141-3880,0000-0001-5311-929X,14
355,0000-0001-5311-929X,0000-0002-8141-3880,14
356,0000-0003-0200-5852,0000-0002-8931-4676,1
357,0000-0003-0200-5852,0000-0002-5431-3083,1
358,0000-0002-8931-4676,0000-0003-0200-5852,1
359,0000-0002-8931-4676,0000-0002-5431-3083,1
360,0000-0002-5431-3083,0000-0003-0200-5852,1
361,0000-0002-5431-3083,0000-0002-8931-4676,1
362,0000-0003-1014-6225,0000-0002-1258-2007,1
363,0000-0003-1014-6225,0000-0001-6695-5297,2
364,0000-0002-1258-2007,0000-0003-1014-6225,1
365,0000-0002-1258-2007,0000-0001-6695-5297,2
366,0000-0001-6695-5297,0000-0003-1014-6225,2
367,0000-0001-6695-5297,0000-0002-1258-2007,2
