Unnamed: 0,codigo_autor,publicaciones_totales
743,0000-0001-7421-3357,87
744,0000-0003-1780-2627,19
745,0000-0001-6670-2759,24
746,0000-0001-6069-7960,58
747,0000-0002-6841-6710,1
748,0000-0002-3657-1652,35
749,0000-0002-0400-9542,107
752,0000-0001-6891-8721,12
753,0000-0003-3863-4474,18
754,0000-0002-9769-0217,33
755,0000-0003-1434-0607,65
757,0000-0003-0239-5440,3
758,0000-0002-1017-9775,11
759,0000-0002-3370-0367,25
760,0000-0001-7161-9255,11
761,0000-0003-4970-4730,57
762,0000-0003-2036-8665,12
763,0000-0002-8610-8375,30
764,0000-0003-2502-3033,11
765,0000-0002-3924-6919,4
766,0000-0003-0069-6004,13
767,0000-0001-6155-9439,77
769,0000-0002-9637-3869,111
770,0000-0002-4453-814X,23
772,0000-0002-9631-1465,31
773,0000-0002-5597-3075,49
774,0000-0001-9324-2698,4
775,0000-0001-5464-1792,109
776,0000-0002-2853-806X,71
777,0000-0001-5371-4427,155
778,0000-0002-8559-4885,39
779,0000-0003-3538-0050,29
780,0000-0001-6285-8780,91
781,0000-0002-0004-2660,27
782,0000-0002-2245-2679,20
784,0000-0001-5775-3984,13
786,0000-0001-8390-7713,13
787,0000-0001-9921-5105,98
788,0000-0003-2018-3476,28
789,0000-0002-0052-7991,73
790,0000-0003-4755-1670,156
791,0000-0002-4378-6838,26
792,0000-0003-1964-3770,18
793,0000-0002-7593-5607,98
794,0000-0002-6145-2532,83
796,0000-0003-2216-7461,7
797,0000-0002-6188-9902,18
798,0000-0003-0115-4725,94
799,0000-0001-6063-1937,114
800,0000-0002-8567-173X,395
801,0000-0002-9067-1697,54
803,0000-0002-0894-3412,5
804,0000-0002-5729-1211,13
805,0000-0002-4084-6639,81
806,0000-0003-1376-8409,193
807,0000-0002-6394-5031,11
808,0000-0002-2744-6788,11
809,0000-0003-0524-1172,25
810,0000-0003-2309-1171,267
811,0000-0002-9568-2571,39
812,0000-0001-6886-898X,34
813,0000-0002-2046-8298,8
814,0000-0002-9855-4305,25
815,0000-0002-9404-7736,103
817,0000-0003-3382-0438,11
818,0000-0002-8807-2353,35
819,0000-0003-4176-9361,19
820,0000-0001-9075-5121,38
821,0000-0002-6258-529X,81
823,0000-0001-6134-7946,47
825,0000-0001-6401-1874,68
826,0000-0002-0198-4588,116
827,0000-0002-5881-8003,71
828,0000-0001-5607-4517,28
829,0000-0003-1128-0557,62
830,0000-0003-3406-3002,96
831,0000-0002-9029-5185,26
832,0000-0001-8191-3511,73
833,0000-0002-8932-3695,45
834,0000-0003-1032-5987,45
835,0000-0003-4109-3488,28
836,0000-0002-0290-0315,83
838,0000-0002-8814-7706,37
839,0000-0003-0629-4882,6
840,0000-0003-0848-7194,26
841,0000-0002-1992-1649,31
842,0000-0002-8597-4415,43
843,0000-0001-6380-2324,48
844,0000-0001-7369-1322,84
846,0000-0002-0167-3771,11
847,0000-0003-3957-9470,20
848,0000-0001-8174-3890,12
849,0000-0003-3447-3570,65
850,0000-0002-0223-9141,9
