codigo_autor,codigo_coautor,num_coautorías,num_publicaciones_totales,coautorías_normalizadas
0000-0003-4485-9530,0000-0003-0745-629X,1,9,0.1111111111111111
0000-0003-0745-629X,0000-0003-4485-9530,1,4,0.25
0000-0001-8996-1518,0000-0002-3594-7136,21,44,0.4772727272727273
0000-0002-3594-7136,0000-0001-8996-1518,21,21,1.0
0000-0001-9444-0610,0000-0001-7944-9289,7,39,0.1794871794871795
0000-0001-7944-9289,0000-0001-9444-0610,7,34,0.20588235294117646
0000-0001-7969-492X,0000-0002-4550-8460,3,27,0.1111111111111111
0000-0001-7969-492X,0000-0003-0831-9801,2,27,0.07407407407407407
0000-0001-7969-492X,0000-0002-5554-6946,2,27,0.07407407407407407
0000-0002-4550-8460,0000-0001-7969-492X,3,40,0.075
0000-0002-4550-8460,0000-0003-0831-9801,2,40,0.05
0000-0002-4550-8460,0000-0002-5554-6946,2,40,0.05
0000-0003-0831-9801,0000-0001-7969-492X,2,92,0.021739130434782608
0000-0003-0831-9801,0000-0002-4550-8460,2,92,0.021739130434782608
0000-0003-0831-9801,0000-0002-5554-6946,4,92,0.043478260869565216
0000-0002-5554-6946,0000-0001-7969-492X,2,310,0.0064516129032258064
0000-0002-5554-6946,0000-0002-4550-8460,2,310,0.0064516129032258064
0000-0002-5554-6946,0000-0003-0831-9801,4,310,0.012903225806451613
0000-0002-2634-9302,0000-0001-8493-1168,1,176,0.005681818181818182
0000-0001-8493-1168,0000-0002-2634-9302,1,101,0.009900990099009901
0000-0001-8549-6903,0000-0001-9803-9584,5,19,0.2631578947368421
0000-0001-9803-9584,0000-0001-8549-6903,5,10,0.5
0000-0002-0269-3352,0000-0003-0265-2638,10,54,0.18518518518518517
0000-0003-0265-2638,0000-0002-0269-3352,10,13,0.7692307692307693
0000-0001-7843-5969,0000-0002-3732-3570,32,33,0.9696969696969697
0000-0002-3732-3570,0000-0001-7843-5969,32,72,0.4444444444444444
0000-0001-6910-2089,0000-0002-1100-3878,1,19,0.05263157894736842
0000-0001-6910-2089,0000-0002-5538-182X,5,19,0.2631578947368421
0000-0002-1100-3878,0000-0001-6910-2089,1,11,0.09090909090909091
0000-0002-1100-3878,0000-0002-5538-182X,1,11,0.09090909090909091
0000-0002-5538-182X,0000-0001-6910-2089,5,10,0.5
0000-0002-5538-182X,0000-0002-1100-3878,1,10,0.1
0000-0003-3612-6687,0000-0002-8955-8283,1,65,0.015384615384615385
0000-0002-8955-8283,0000-0003-3612-6687,1,180,0.005555555555555556
0000-0003-0850-4337,0000-0001-6869-8431,1,36,0.027777777777777776
0000-0001-6869-8431,0000-0003-0850-4337,1,36,0.027777777777777776
0000-0002-6459-0893,0000-0002-2915-3970,75,88,0.8522727272727273
0000-0002-2915-3970,0000-0002-6459-0893,75,76,0.9868421052631579
0000-0002-5311-9457,0000-0003-0449-0839,35,66,0.5303030303030303
0000-0003-0449-0839,0000-0002-5311-9457,35,89,0.39325842696629215
0000-0002-6168-5467,0000-0002-3637-3330,3,4,0.75
0000-0002-6168-5467,0000-0003-2203-4466,1,4,0.25
0000-0002-3637-3330,0000-0002-6168-5467,3,13,0.23076923076923078
0000-0002-3637-3330,0000-0003-2203-4466,1,13,0.07692307692307693
0000-0003-2203-4466,0000-0002-6168-5467,1,6,0.16666666666666666
0000-0003-2203-4466,0000-0002-3637-3330,1,6,0.16666666666666666
0000-0002-5072-7748,0000-0003-0239-5440,3,17,0.17647058823529413
0000-0003-0239-5440,0000-0002-5072-7748,3,3,1.0
0000-0002-1017-9775,0000-0002-3370-0367,3,11,0.2727272727272727
0000-0002-3370-0367,0000-0002-1017-9775,3,25,0.12
0000-0003-2036-8665,0000-0002-8610-8375,2,12,0.16666666666666666
0000-0002-8610-8375,0000-0003-2036-8665,2,30,0.06666666666666667
0000-0002-9631-1465,0000-0002-5597-3075,7,31,0.22580645161290322
0000-0002-5597-3075,0000-0002-9631-1465,7,49,0.14285714285714285
0000-0001-9324-2698,0000-0001-5464-1792,1,4,0.25
0000-0001-5464-1792,0000-0001-9324-2698,1,109,0.009174311926605505
0000-0003-2018-3476,0000-0001-5455-5819,1,28,0.03571428571428571
0000-0001-5455-5819,0000-0003-2018-3476,1,98,0.01020408163265306
0000-0002-7593-5607,0000-0002-6145-2532,18,98,0.1836734693877551
0000-0002-6145-2532,0000-0002-7593-5607,18,83,0.21686746987951808
0000-0001-6063-1937,0000-0002-8567-173X,20,114,0.17543859649122806
0000-0002-8567-173X,0000-0001-6063-1937,20,395,0.05063291139240506
0000-0002-4084-6639,0000-0003-1376-8409,1,81,0.012345679012345678
0000-0003-1376-8409,0000-0002-4084-6639,1,193,0.0051813471502590676
0000-0002-9855-4305,0000-0002-9404-7736,24,25,0.96
0000-0002-9404-7736,0000-0002-9855-4305,24,103,0.23300970873786409
0000-0003-1032-5987,0000-0003-4109-3488,15,45,0.3333333333333333
0000-0003-4109-3488,0000-0003-1032-5987,15,28,0.5357142857142857
0000-0002-8814-7706,0000-0003-0629-4882,6,37,0.16216216216216217
0000-0003-0629-4882,0000-0002-8814-7706,6,6,1.0
0000-0001-6380-2324,0000-0001-7369-1322,3,48,0.0625
0000-0001-6380-2324,0000-0002-3986-7686,3,48,0.0625
0000-0001-6380-2324,0000-0002-0167-3771,1,48,0.020833333333333332
0000-0001-6380-2324,0000-0003-3957-9470,1,48,0.020833333333333332
0000-0001-7369-1322,0000-0001-6380-2324,3,84,0.03571428571428571
0000-0001-7369-1322,0000-0002-3986-7686,4,84,0.047619047619047616
0000-0001-7369-1322,0000-0002-0167-3771,10,84,0.11904761904761904
0000-0001-7369-1322,0000-0003-3957-9470,1,84,0.011904761904761904
0000-0002-3986-7686,0000-0001-6380-2324,3,47,0.06382978723404255
0000-0002-3986-7686,0000-0001-7369-1322,4,47,0.0851063829787234
0000-0002-3986-7686,0000-0002-0167-3771,1,47,0.02127659574468085
0000-0002-3986-7686,0000-0003-3957-9470,1,47,0.02127659574468085
0000-0002-0167-3771,0000-0001-6380-2324,1,11,0.09090909090909091
0000-0002-0167-3771,0000-0001-7369-1322,10,11,0.9090909090909091
0000-0002-0167-3771,0000-0002-3986-7686,1,11,0.09090909090909091
0000-0002-0167-3771,0000-0003-3957-9470,1,11,0.09090909090909091
0000-0003-3957-9470,0000-0001-6380-2324,1,20,0.05
0000-0003-3957-9470,0000-0001-7369-1322,1,20,0.05
0000-0003-3957-9470,0000-0002-3986-7686,1,20,0.05
0000-0003-3957-9470,0000-0002-0167-3771,1,20,0.05
0000-0003-0626-7665,0000-0001-8783-6959,23,28,0.8214285714285714
0000-0001-8783-6959,0000-0003-0626-7665,23,29,0.7931034482758621
0000-0002-0583-4595,0000-0003-3022-2483,1,5,0.2
0000-0003-3022-2483,0000-0002-0583-4595,1,3,0.3333333333333333
0000-0003-2011-2790,0000-0001-9530-0820,12,54,0.2222222222222222
0000-0001-9530-0820,0000-0003-2011-2790,12,18,0.6666666666666666
0000-0003-2225-6675,0000-0002-2794-5261,30,67,0.44776119402985076
0000-0002-2794-5261,0000-0003-2225-6675,30,51,0.5882352941176471
0000-0003-2225-6675,0000-0003-1337-7897,11,67,0.16417910447761194
0000-0003-1337-7897,0000-0003-2225-6675,11,146,0.07534246575342465
0000-0001-6350-0641,0000-0002-7804-4068,5,14,0.35714285714285715
0000-0002-7804-4068,0000-0001-6350-0641,5,8,0.625
0000-0003-3704-1941,0000-0001-8818-0568,1,27,0.037037037037037035
0000-0001-8818-0568,0000-0003-3704-1941,1,61,0.01639344262295082
0000-0003-0114-7808,0000-0002-7699-0173,1,35,0.02857142857142857
0000-0002-7699-0173,0000-0003-0114-7808,1,98,0.01020408163265306
0000-0002-1589-2254,0000-0001-9999-5359,19,39,0.48717948717948717
0000-0001-9999-5359,0000-0002-1589-2254,19,61,0.3114754098360656
0000-0003-3801-7249,0000-0002-7688-6448,1,4,0.25
0000-0003-3801-7249,0000-0002-5333-4771,1,4,0.25
0000-0003-3801-7249,0000-0002-3461-230X,1,4,0.25
0000-0003-3801-7249,0000-0002-0903-494X,1,4,0.25
0000-0002-7688-6448,0000-0003-3801-7249,1,3,0.3333333333333333
0000-0002-7688-6448,0000-0002-5333-4771,1,3,0.3333333333333333
0000-0002-7688-6448,0000-0002-3461-230X,1,3,0.3333333333333333
0000-0002-7688-6448,0000-0002-0903-494X,2,3,0.6666666666666666
0000-0002-5333-4771,0000-0003-3801-7249,1,11,0.09090909090909091
0000-0002-5333-4771,0000-0002-7688-6448,1,11,0.09090909090909091
0000-0002-5333-4771,0000-0002-3461-230X,8,11,0.7272727272727273
0000-0002-5333-4771,0000-0002-0903-494X,1,11,0.09090909090909091
0000-0002-3461-230X,0000-0003-3801-7249,1,23,0.043478260869565216
0000-0002-3461-230X,0000-0002-7688-6448,1,23,0.043478260869565216
0000-0002-3461-230X,0000-0002-5333-4771,8,23,0.34782608695652173
0000-0002-3461-230X,0000-0002-0903-494X,1,23,0.043478260869565216
0000-0002-0903-494X,0000-0003-3801-7249,1,2,0.5
0000-0002-0903-494X,0000-0002-7688-6448,2,2,1.0
0000-0002-0903-494X,0000-0002-5333-4771,1,2,0.5
0000-0002-0903-494X,0000-0002-3461-230X,1,2,0.5
0000-0002-8484-0618,0000-0002-2542-3582,1,37,0.02702702702702703
0000-0002-2542-3582,0000-0002-8484-0618,1,6,0.16666666666666666
0000-0002-8141-3880,0000-0001-5311-929X,14,15,0.9333333333333333
0000-0001-5311-929X,0000-0002-8141-3880,14,36,0.3888888888888889
0000-0003-0200-5852,0000-0002-8931-4676,1,11,0.09090909090909091
0000-0003-0200-5852,0000-0002-5431-3083,1,11,0.09090909090909091
0000-0002-8931-4676,0000-0003-0200-5852,1,13,0.07692307692307693
0000-0002-8931-4676,0000-0002-5431-3083,1,13,0.07692307692307693
0000-0002-5431-3083,0000-0003-0200-5852,1,1,1.0
0000-0002-5431-3083,0000-0002-8931-4676,1,1,1.0
0000-0003-1014-6225,0000-0002-1258-2007,1,41,0.024390243902439025
0000-0003-1014-6225,0000-0001-6695-5297,2,41,0.04878048780487805
0000-0002-1258-2007,0000-0003-1014-6225,1,32,0.03125
0000-0002-1258-2007,0000-0001-6695-5297,2,32,0.0625
0000-0001-6695-5297,0000-0003-1014-6225,2,27,0.07407407407407407
0000-0001-6695-5297,0000-0002-1258-2007,2,27,0.07407407407407407
