,codigo_autor,publicaciones_totales
872,0000-0002-7607-4562,7
873,0000-0003-2216-0526,26
874,0000-0001-9489-1315,18
875,0000-0001-6093-6837,9
876,0000-0001-5575-529X,95
877,0000-0001-9278-5471,30
878,0000-0002-0049-1079,89
879,0000-0002-6879-5343,10
880,0000-0003-0638-8440,44
881,0000-0002-0252-8314,32
882,0000-0002-0412-2270,63
883,0000-0003-4635-6427,12
884,0000-0002-6245-8071,21
885,0000-0003-0194-2537,12
886,0000-0001-8884-6235,8
887,0000-0001-6090-4974,81
888,0000-0001-8770-1042,152
889,0000-0003-1870-1430,58
890,0000-0002-7999-7872,31
891,0000-0003-4882-1564,31
892,0000-0003-4732-4590,33
893,0000-0001-5231-3293,9
894,0000-0002-4746-8415,25
895,0000-0002-8942-6897,25
896,0000-0002-2573-1294,122
897,0000-0001-5223-662X,32
898,0000-0002-1595-6887,44
899,0000-0002-1315-7563,16
900,0000-0002-6093-0395,69
901,0000-0001-5465-5641,12
902,0000-0003-4137-1230,12
903,0000-0001-7918-5164,37
904,0000-0002-3309-1346,19
905,0000-0002-8423-5987,18
906,0000-0002-7248-3449,6
907,0000-0003-2225-6675,67
908,0000-0002-2794-5261,51
909,0000-0002-9558-8294,2
910,0000-0001-5412-7152,31
911,0000-0001-8485-7092,7
912,0000-0003-4129-0473,35
913,0000-0003-3809-6637,22
914,0000-0003-1756-5449,21
915,0000-0003-1783-133X,48
916,0000-0002-8597-7253,16
917,0000-0002-5569-6186,6
918,0000-0003-1278-2313,25
919,0000-0001-6700-7491,74
920,0000-0003-1381-4604,49
921,0000-0002-6194-0341,76
922,0000-0002-1630-6827,57
923,0000-0001-6350-0641,14
924,0000-0002-7804-4068,8
925,0000-0002-5085-8801,41
926,0000-0002-6616-1996,182
927,0000-0002-4571-4328,29
928,0000-0002-3249-6931,60
929,0000-0001-7790-4022,43
930,0000-0001-7608-208X,21
931,0000-0001-6517-6507,8
932,0000-0003-1240-5438,47
933,0000-0002-6850-733X,21
934,0000-0002-7613-3745,25
935,0000-0002-5893-3124,45
936,0000-0002-4958-2166,62
937,0000-0003-3704-1941,27
938,0000-0001-8818-0568,61
939,0000-0003-1923-7430,48
940,0000-0003-3453-023X,9
941,0000-0002-9355-5528,105
942,0000-0003-1111-2932,59
943,0000-0001-7936-1527,23
944,0000-0003-3004-375X,1
945,0000-0003-4713-3911,131
946,0000-0003-2134-9597,32
947,0000-0003-2954-1022,102
948,0000-0002-9253-5170,79
949,0000-0003-0793-022X,21
950,0000-0002-0935-3713,130
951,0000-0002-7307-0291,191
952,0000-0002-8515-8928,53
953,0000-0003-0590-1396,13
954,0000-0003-4500-880X,50
955,0000-0001-6615-9426,27
956,0000-0003-4680-9422,40
957,0000-0003-4535-9036,46
958,0000-0003-0114-7808,35
959,0000-0002-7699-0173,98
960,0000-0002-1589-2254,39
961,0000-0002-2675-528X,57
962,0000-0003-3801-7249,4
963,0000-0002-7688-6448,3
964,0000-0002-5333-4771,11
965,0000-0002-3461-230X,23
966,0000-0002-0903-494X,2
967,0000-0002-8946-0462,172
968,0000-0001-5281-0302,27
969,0000-0002-5411-8800,28
970,0000-0002-1583-5794,20
971,0000-0002-2542-3582,6
972,0000-0002-3686-1043,3
973,0000-0003-2547-6593,19
974,0000-0002-8141-3880,15
975,0000-0001-5311-929X,36
976,0000-0003-0731-9092,75
977,0000-0003-0200-5852,11
978,0000-0002-8931-4676,13
979,0000-0002-5431-3083,1
980,0000-0001-5723-6143,26
981,0000-0002-0879-5798,55
982,0000-0003-3691-8326,13
983,0000-0003-4136-3070,53
984,0000-0003-4895-7402,2
985,0000-0001-7233-8156,3
986,0000-0002-8049-3567,65
987,0000-0002-9925-6377,65
988,0000-0002-9658-2601,10
989,0000-0002-0868-4000,42
990,0000-0003-0195-9697,27
991,0000-0002-1258-2007,32
992,0000-0001-6695-5297,27
993,0000-0002-3598-9344,1
994,0000-0003-2997-4362,6
995,0000-0002-9421-1292,17
996,0000-0002-7407-3398,29
997,0000-0002-0184-7460,3
998,0000-0003-3106-3568,43
999,0000-0003-1580-7491,14
1000,0000-0002-4513-1608,33
1001,0000-0001-8968-5963,54
1002,0000-0003-4314-2570,19
1003,0000-0002-0303-0817,5
1004,0000-0002-2002-2210,22
1005,0000-0003-1552-3253,67
1006,0000-0001-5425-969X,73
1007,0000-0002-1383-5248,141
1008,0000-0003-2404-7156,58
1009,0000-0002-7686-0547,122
1010,0000-0001-9727-227X,49
1011,0000-0001-8798-0897,16
1012,0000-0003-2987-4396,35
1013,0000-0001-8363-1999,62
1014,0000-0001-6360-7959,142
1015,0000-0003-0349-1557,69
1016,0000-0002-3115-864X,52
1017,0000-0002-4521-4999,56
1018,0000-0001-6216-1836,21
1019,0000-0003-4753-6745,103
1020,0000-0002-9103-9757,32
1021,0000-0001-8408-7796,52
1022,0000-0001-7854-8584,20
1023,0000-0001-8494-732X,272
1024,0000-0001-5266-4253,95
1025,0000-0002-4401-2340,19
1026,0000-0002-2746-4222,20
1027,0000-0002-1949-2039,48
1028,0000-0002-5590-0167,11
1029,0000-0002-3978-8961,58
1030,0000-0002-3400-9068,19
1031,0000-0003-4424-8430,17
1032,0000-0003-0329-5249,19
1033,0000-0002-4559-8152,10
1034,0000-0003-2145-3650,17
1035,0000-0002-2128-8264,36
1036,0000-0002-7544-8454,23
1037,0000-0003-2550-2173,6
1038,0000-0002-4167-5253,5
1039,0000-0002-7111-6735,21
1040,0000-0002-0045-1747,55
1041,0000-0003-3807-3590,16
1042,0000-0003-2774-9161,48
1043,0000-0002-1478-4729,117
1044,0000-0001-8837-2367,23
1045,0000-0001-7423-9864,158
1046,0000-0001-6097-0402,5
1047,0000-0003-0180-3414,8
1048,0000-0002-4341-9675,29
1049,0000-0003-3606-4615,10
1050,0000-0002-5980-3786,7
1051,0000-0001-9980-4225,19
1052,0000-0001-7227-2011,11
1053,0000-0002-3485-9740,64
1054,0000-0001-7423-4609,3
1055,0000-0003-1895-450X,42
1056,0000-0003-0081-0305,40
1057,0000-0001-7027-999X,37
1058,0000-0002-5256-1972,3
1059,0000-0002-7343-5625,12
1060,0000-0001-9092-4300,31
1061,0000-0001-9380-0418,44
1062,0000-0002-2848-9077,17
1063,0000-0001-8799-8202,66
1064,0000-0003-0569-6441,12
1065,0000-0003-2378-279X,41
1066,0000-0001-6549-2788,7
1067,0000-0003-1451-9578,36
1068,0000-0002-5255-1547,21
1069,0000-0001-9783-5431,51
1070,0000-0002-2951-2523,9
1071,0000-0003-3596-4515,23
1072,0000-0002-3376-1979,8
1073,0000-0002-0461-8778,24
1074,0000-0003-3337-4490,27
1075,0000-0001-5705-2897,110
1076,0000-0002-7962-3862,28
1077,0000-0002-7229-0081,52
1078,0000-0003-1133-1174,37
1079,0000-0003-3462-1676,60
1080,0000-0001-7516-7372,87
1081,0000-0002-6176-5272,19
1082,0000-0001-8104-1493,128
1083,0000-0001-5582-3301,23
1084,0000-0002-5221-9288,25
1085,0000-0002-6792-3921,16
1086,0000-0003-4082-8163,170
1087,0000-0001-9583-3117,34
1088,0000-0002-8290-6409,21
1089,0000-0001-9755-4779,11
1090,0000-0003-1729-5071,41
1091,0000-0002-9654-0073,11
1092,0000-0001-7049-1560,44
1093,0000-0002-1876-6536,11
1094,0000-0001-6335-3303,34
1095,0000-0002-8528-828X,5
1096,0000-0001-8738-5852,127
1097,0000-0003-2881-8384,3
1098,0000-0001-6776-8450,32
1099,0000-0003-4024-6868,49
1100,0000-0003-1680-5295,38
1101,0000-0002-7199-8109,101
1102,0000-0002-0566-7723,23
1103,0000-0001-6964-1904,103
1104,0000-0002-8608-3278,97
1105,0000-0003-3367-0679,4
1106,0000-0002-0690-9464,24
1107,0000-0002-1066-843X,22
1108,0000-0002-6526-159X,31
1109,0000-0002-8624-4983,18
1110,0000-0002-4954-5824,16
1111,0000-0002-0121-0224,151
1112,0000-0001-9227-8234,56
1113,0000-0001-8619-0631,61
1114,0000-0002-2421-9942,12
1115,0000-0002-4446-9834,44
1116,0000-0003-4110-3375,39
1117,0000-0002-6803-486X,35
1118,0000-0002-5058-5874,57
1119,0000-0002-6608-5209,25
1120,0000-0003-4876-2912,39
1121,0000-0003-3515-212X,52
1122,0000-0003-0951-9100,13
1123,0000-0002-0427-9059,39
1124,0000-0001-6751-555X,31
1125,0000-0003-1656-302X,56
1126,0000-0002-1235-360X,47
1127,0000-0002-7352-6391,22
1128,0000-0002-0633-9772,43
1129,0000-0001-9251-070X,196
1130,0000-0001-7834-8486,19
1131,0000-0002-1539-7261,119
1132,0000-0002-8169-6905,22
1133,0000-0002-8154-9286,15
1134,0000-0002-6633-7824,8
1135,0000-0002-0822-4514,12
1136,0000-0002-8053-4517,15
1137,0000-0002-8512-8868,11
1138,0000-0002-5309-7606,22
1139,0000-0003-4812-0522,34
1140,0000-0001-9250-8714,14
1141,0000-0002-1058-0884,22
1142,0000-0001-6262-372X,71
1143,0000-0003-1905-1089,27
1144,0000-0001-9154-633X,10
1145,0000-0001-6780-9259,39
1146,0000-0002-3153-4297,15
1147,0000-0003-2259-5853,33
1148,0000-0001-8234-4058,64
1149,0000-0002-2956-3101,54
1150,0000-0002-8903-3102,5
1151,0000-0002-9502-0332,34
1152,0000-0001-9004-1022,5
1153,0000-0001-9287-0975,5
1154,0000-0002-2723-8954,26
1155,0000-0002-5490-8968,40
1156,0000-0002-2462-8797,48
1157,0000-0003-3879-6940,21
1158,0000-0001-5419-7935,32
1159,0000-0003-2927-7225,82
1160,0000-0002-5706-131X,45
1161,0000-0002-3916-194X,24
1162,0000-0002-6432-558X,62
1163,0000-0003-4103-8219,7
1164,0000-0001-8758-8254,15
1165,0000-0001-7392-8852,51
1166,0000-0001-7562-5724,38
1167,0000-0002-3608-5515,91
1168,0000-0002-5237-0789,16
1169,0000-0003-2228-4238,11
1170,0000-0003-4476-8268,8
1171,0000-0002-6739-242X,41
1172,0000-0001-6783-2301,83
1173,0000-0003-2232-6952,64
1174,0000-0003-2602-517X,34
1175,0000-0002-9955-6003,199
1176,0000-0002-3065-1336,22
1177,0000-0002-3069-6323,51
1178,0000-0002-6140-2287,6
1179,0000-0001-5301-0681,24
1180,0000-0002-8219-4827,23
1181,0000-0001-9049-6916,17
1182,0000-0003-4153-5709,15
1183,0000-0002-9109-0958,15
1184,0000-0003-3293-5276,36
1185,0000-0001-6459-6518,32
1186,0000-0001-6424-9102,10
1187,0000-0001-6182-5039,41
1188,0000-0001-5210-1434,10
1189,0000-0003-0566-2209,35
1190,0000-0001-5403-4183,21
1191,0000-0001-6312-0673,8
1192,0000-0003-2861-8286,77
1193,0000-0002-2108-9222,51
1194,0000-0002-7669-1405,25
1195,0000-0001-9591-7636,28
1196,0000-0002-4163-6545,5
1197,0000-0001-6389-2542,26
1198,0000-0002-8321-9950,154
1199,0000-0003-1321-8714,50
1200,0000-0002-0747-7317,49
1201,0000-0003-4659-8960,18
1202,0000-0002-4429-2004,92
1203,0000-0001-5348-9063,179
1204,0000-0002-6750-2617,24
1205,0000-0001-9435-9441,240
1206,0000-0001-5492-7766,23
1207,0000-0002-6297-7154,156
1208,0000-0003-0628-5871,42
1209,0000-0003-2568-6208,12
1210,0000-0002-2833-8826,18
1211,0000-0002-7122-9262,37
1212,0000-0002-3533-7979,22
1213,0000-0002-6730-1452,53
1214,0000-0003-2459-2226,54
1215,0000-0003-4045-8553,7
1216,0000-0002-7780-1039,2
1217,0000-0003-0812-8829,2
1218,0000-0001-8702-2269,19
1219,0000-0003-4414-0139,26
1220,0000-0001-9080-7761,28
1221,0000-0003-4187-7063,18
1222,0000-0001-6059-9359,11
1223,0000-0002-4477-672X,29
1224,0000-0003-4771-6981,40
1225,0000-0002-3972-9208,11
1226,0000-0002-7347-3330,23
1227,0000-0001-7945-1426,81
1228,0000-0001-9806-0893,76
1229,0000-0002-1412-2450,11
1230,0000-0002-3651-7314,2
1231,0000-0002-4747-4938,76
1232,0000-0002-9893-6207,24
1233,0000-0003-3017-8240,21
1234,0000-0003-0467-1736,13
1235,0000-0001-5098-726X,5
1236,0000-0003-4408-5467,39
1237,0000-0002-6087-0548,43
1238,0000-0002-0070-7837,14
1239,0000-0001-9265-0630,26
1240,0000-0002-3597-5698,20
1241,0000-0002-7679-6549,7
1242,0000-0002-0671-7374,55
1243,0000-0003-2208-3196,15
1244,0000-0002-0362-6717,4
1245,0000-0002-1728-8085,58
1246,0000-0001-7162-0854,61
1247,0000-0001-5915-4598,41
1248,0000-0002-6927-0266,40
1249,0000-0003-1942-2580,8
1250,0000-0001-9318-3368,4
1251,0000-0002-0597-829X,78
1252,0000-0001-6036-535X,8
1253,0000-0002-0574-5189,22
1254,0000-0001-7912-6826,67
1255,0000-0002-1407-8314,476
1256,0000-0002-4579-4479,13
1257,0000-0002-4343-5210,20
1258,0000-0001-7132-4094,9
1259,0000-0003-1128-833X,8
1260,0000-0001-7038-9566,2
1261,0000-0002-7412-0406,40
1262,0000-0001-7238-9041,8
1263,0000-0003-3587-7147,47
1264,0000-0003-0981-8661,35
1265,0000-0001-8905-8222,18
1266,0000-0002-4223-0571,39
1267,0000-0001-7211-7564,90
1268,0000-0002-3911-6241,43
1269,0000-0003-3369-6369,22
1270,0000-0002-3659-6294,30
1271,0000-0001-6756-0991,7
1272,0000-0003-3294-9838,27
1273,0000-0003-1828-0058,15
1274,0000-0002-6986-7046,121
1275,0000-0002-7800-6045,41
1276,0000-0003-2139-470X,61
1277,0000-0001-5935-4346,18
1278,0000-0002-2075-1835,7
1279,0000-0002-2808-5099,51
1280,0000-0001-9629-7109,61
1281,0000-0001-8957-2002,90
1282,0000-0001-6100-3350,15
1283,0000-0003-2808-3330,26
1284,0000-0002-5706-5142,10
1285,0000-0002-1082-3321,101
1286,0000-0003-1970-7375,58
1287,0000-0002-7337-1203,27
1288,0000-0002-2836-5832,6
1289,0000-0002-4517-1749,17
1290,0000-0003-2356-5883,149
1291,0000-0002-4730-201X,21
1292,0000-0003-1770-6862,30
1293,0000-0002-5027-8137,1
1294,0000-0002-5646-3114,7
1295,0000-0002-2919-3235,3
1296,0000-0001-7970-688X,25
1297,0000-0003-0685-2696,91
1298,0000-0001-6753-8938,72
1299,0000-0003-0137-7486,34
1300,0000-0002-0779-7476,33
1301,0000-0002-1151-6227,39
1302,0000-0001-7095-3796,8
1303,0000-0003-3051-0047,31
1304,0000-0002-5183-9426,40
1305,0000-0002-5435-5363,21
1306,0000-0001-8373-8569,35
1307,0000-0001-5240-6836,30
1308,0000-0002-8555-2271,15
1309,0000-0002-6110-8221,41
1310,0000-0002-8251-8393,12
1311,0000-0001-5661-9900,15
1312,0000-0002-5208-8492,26
1313,0000-0003-2322-5555,16
1314,0000-0002-8890-7082,35
1315,0000-0002-3108-4812,54
1316,0000-0002-9937-7005,9
1317,0000-0003-4864-3956,30
1318,0000-0003-1419-7484,23
1319,0000-0003-4908-5431,8
1320,0000-0002-5595-8174,49
1321,0000-0002-6877-5510,38
1322,0000-0002-1376-4849,93
1323,0000-0002-9810-5737,56
1324,0000-0002-3010-1609,17
1325,0000-0001-9908-5996,13
1326,0000-0003-3436-6097,89
1327,0000-0002-9282-9013,20
1328,0000-0003-4596-7242,2
1329,0000-0001-7470-4324,29
1330,0000-0001-9840-6014,26
1331,0000-0002-6428-1441,49
1332,0000-0002-2753-1800,101
1333,0000-0002-7086-2621,10
1334,0000-0003-3730-3278,16
1335,0000-0001-6005-0016,37
1336,0000-0002-5381-1558,64
1337,0000-0002-5628-5872,28
1338,0000-0002-3804-6421,30
1339,0000-0003-4418-6153,57
1340,0000-0001-8000-1385,36
1341,0000-0001-6143-2673,9
1342,0000-0001-8477-6188,48
1343,0000-0002-3864-8246,22
1344,0000-0002-5148-7643,10
1345,0000-0002-0504-6820,20
1346,0000-0001-8574-9181,41
1347,0000-0003-0453-6921,14
1348,0000-0002-7879-6059,11
1349,0000-0002-6242-5974,126
1350,0000-0001-9046-6725,17
1351,0000-0003-4396-8866,33
1352,0000-0003-1049-0683,57
1353,0000-0002-2733-7776,44
1354,0000-0003-2944-8469,16
1355,0000-0002-7805-5744,5
1356,0000-0003-2448-7063,12
1357,0000-0001-6305-4442,38
1358,0000-0001-6246-2794,21
1359,0000-0002-0562-6681,11
1360,0000-0002-7569-1673,10
1361,0000-0003-4596-1502,26
1362,0000-0002-4716-8578,193
1363,0000-0002-5019-6086,12
1364,0000-0002-7405-0487,23
1365,0000-0001-9998-051X,21
1366,0000-0003-1153-8394,20
1367,0000-0002-9982-6114,37
1368,0000-0003-1733-7243,59
1369,0000-0002-7130-981X,27
1370,0000-0002-0836-3389,54
1371,0000-0001-6629-955X,7
1372,0000-0002-0462-5775,39
1373,0000-0002-6641-0833,22
1374,0000-0001-6620-4362,31
1375,0000-0003-1367-6467,217
1376,0000-0003-1295-9131,67
1377,0000-0001-6094-8336,5
1378,0000-0001-9866-8268,124
1379,0000-0003-3678-6677,20
1380,0000-0002-2130-691X,40
1381,0000-0002-6772-2038,28
1382,0000-0001-6758-5101,27
1383,0000-0002-1660-2482,10
1384,0000-0002-5806-829X,14
1385,0000-0003-1162-8824,78
1386,0000-0002-8428-3399,11
1387,0000-0003-0970-2837,61
1388,0000-0003-4358-0095,16
1389,0000-0001-6131-7050,1
1390,0000-0002-5633-4494,18
1391,0000-0002-3552-5144,30
1392,0000-0001-5623-2538,17
1393,0000-0002-4435-6397,171
1394,0000-0003-4931-752X,56
1395,0000-0003-3988-7780,4
1396,0000-0002-6415-6560,126
1397,0000-0002-9405-9550,121
1398,0000-0001-6993-6884,169
1399,0000-0001-5803-3380,21
1400,0000-0002-5542-9897,96
1401,0000-0002-5138-1099,80
1402,0000-0003-3075-0665,93
1403,0000-0001-7094-5657,25
1404,0000-0003-0823-8729,89
1405,0000-0003-1539-2070,13
1406,0000-0002-1465-1010,8
1407,0000-0003-3314-197X,2
1408,0000-0002-2179-2567,41
1409,0000-0002-7749-1624,5
1410,0000-0003-0147-7778,14
1411,0000-0002-1146-8800,38
1412,0000-0002-2573-8736,30
1413,0000-0001-6848-1638,10
1414,0000-0003-2322-3314,106
1415,0000-0001-6343-8155,24
1416,0000-0002-5859-1064,27
1417,0000-0002-6551-1827,219
1418,0000-0002-4926-0490,7
1419,0000-0003-0110-5704,25
1420,0000-0001-9679-1473,89
1421,0000-0003-1300-0504,79
1422,0000-0002-1812-9844,33
1423,0000-0002-4242-5790,24
1424,0000-0003-4025-9132,44
1425,0000-0001-6933-6424,34
1426,0000-0002-5571-0347,9
1427,0000-0002-9447-1967,106
1428,0000-0003-3235-0454,72
1429,0000-0003-0758-3539,39
1430,0000-0002-3201-7144,75
1431,0000-0003-4832-578X,11
1432,0000-0001-9110-585X,44
1433,0000-0002-9321-8556,5
1434,0000-0003-1564-8531,30
1435,0000-0002-1035-0173,9
1436,0000-0003-4076-2336,230
1437,0000-0003-2917-8657,16
1438,0000-0001-9621-8431,12
1439,0000-0003-0484-2689,12
1440,0000-0002-0372-0033,21
1441,0000-0003-2992-3215,9
1442,0000-0002-4233-1890,96
1443,0000-0001-5662-1971,32
1444,0000-0002-3599-9657,27
1445,0000-0003-2127-8442,66
1446,0000-0003-4803-0367,4
1447,0000-0002-1476-4752,65
1448,0000-0002-9956-8354,9
1449,0000-0001-5931-642X,70
1450,0000-0002-5235-9993,18
1451,0000-0003-1233-9338,16
1452,0000-0002-1498-9652,44
1453,0000-0002-9527-6418,140
1454,0000-0001-9565-1743,14
1455,0000-0002-8380-8472,11
1456,0000-0002-3402-8381,22
1457,0000-0001-5076-2917,26
1458,0000-0001-9721-7641,1
1459,0000-0001-6651-7641,93
1460,0000-0001-6121-7105,25
1461,0000-0002-6393-9969,57
1462,0000-0002-9492-1040,21
1463,0000-0002-8483-0460,10
1464,0000-0002-2404-2702,35
1465,0000-0003-2820-1480,50
1466,0000-0003-1066-1817,12
1467,0000-0001-7073-2379,196
1468,0000-0002-6980-4053,28
1469,0000-0002-3413-570X,90
1470,0000-0003-1784-5483,65
1471,0000-0003-0206-5337,179
1472,0000-0001-9241-2886,26
1473,0000-0002-8340-0303,16
1474,0000-0002-0865-8814,10
1475,0000-0002-5827-0439,10
1476,0000-0001-7273-7528,35
1477,0000-0002-4198-3731,11
1478,0000-0002-0559-5889,36
1479,0000-0002-1197-7242,23
1480,0000-0002-5599-5151,86
1481,0000-0002-9523-7128,52
1482,0000-0001-6093-5965,6
1483,0000-0002-8040-1634,32
1484,0000-0001-7408-4065,28
1485,0000-0002-8129-9344,56
1486,0000-0002-3497-4255,6
1487,0000-0002-6751-4060,47
1488,0000-0001-8283-1788,107
1489,0000-0002-1869-494X,11
1490,0000-0001-7873-933X,27
1491,0000-0002-0828-8630,40
1492,0000-0002-2152-4247,81
1493,0000-0003-1237-1813,16
1494,0000-0002-8239-9830,7
1495,0000-0001-6782-693X,41
1496,0000-0002-1401-7861,135
1497,0000-0002-9217-3982,307
1498,0000-0002-0426-9475,35
1499,0000-0002-4336-7596,53
1500,0000-0001-6682-238X,51
1501,0000-0002-4130-7784,40
1502,0000-0002-0803-1042,32
1503,0000-0002-4916-5928,71
1504,0000-0002-3012-2119,47
1505,0000-0002-9912-8236,29
1506,0000-0002-4919-7786,5
1507,0000-0003-4238-5319,11
1508,0000-0001-6044-2482,7
1509,0000-0001-7240-9567,28
1510,0000-0001-5876-9822,47
1511,0000-0001-8553-5618,77
1512,0000-0002-2804-9979,8
1513,0000-0002-3326-864X,10
1514,0000-0002-3380-5273,26
1515,0000-0002-9576-9466,6
1516,0000-0001-8242-9262,63
1517,0000-0003-3316-2527,102
1518,0000-0001-6471-3358,12
1519,0000-0003-1395-9344,26
1520,0000-0001-5026-9815,4
1521,0000-0002-7470-9261,46
1522,0000-0002-0401-9791,115
1523,0000-0002-4420-2611,31
1524,0000-0002-4900-5633,22
1525,0000-0003-0529-2228,13
1526,0000-0002-9267-4621,152
1527,0000-0003-2778-2789,79
1528,0000-0001-8556-3379,27
1529,0000-0002-4626-420X,11
1530,0000-0001-5802-8047,40
1531,0000-0002-1295-1271,26
1532,0000-0002-7869-6373,5
1533,0000-0002-9338-284X,31
1534,0000-0001-5556-8099,81
1535,0000-0002-7740-1625,3
1536,0000-0003-2239-0778,33
1537,0000-0002-2481-483X,9
1538,0000-0001-6548-4980,6
1539,0000-0003-1366-0246,61
1540,0000-0003-0303-6204,28
1541,0000-0002-3032-452X,33
1542,0000-0001-6680-6507,64
1543,0000-0001-9117-2235,7
1544,0000-0001-7679-8731,150
1545,0000-0001-8235-8564,29
1546,0000-0003-2150-5545,18
1547,0000-0002-7017-5848,62
1548,0000-0002-5374-3161,80
1549,0000-0001-7347-3691,24
1550,0000-0002-2222-4115,80
1551,0000-0003-1039-1087,27
1552,0000-0002-9935-1040,27
1553,0000-0002-3987-419X,30
1554,0000-0003-4417-2085,4
1555,0000-0002-7511-0226,35
1556,0000-0002-3354-2442,108
1557,0000-0001-8355-4065,58
1558,0000-0002-6366-5267,45
1559,0000-0001-6819-7928,15
1560,0000-0001-6924-6402,91
1561,0000-0002-2559-7320,24
1562,0000-0001-5191-4847,68
1563,0000-0002-5666-8662,34
1564,0000-0002-2079-3322,8
1565,0000-0002-6585-5187,34
1566,0000-0001-8288-7546,22
1567,0000-0001-7486-9700,46
1568,0000-0002-9987-022X,79
1569,0000-0001-7093-8289,125
1570,0000-0001-7307-2468,37
1571,0000-0003-3002-1251,39
1572,0000-0002-8518-2303,7
1573,0000-0002-8490-292X,31
1574,0000-0002-8008-3998,33
1575,0000-0001-8396-2771,23
1576,0000-0001-9642-7196,6
1577,0000-0002-9400-7814,18
1578,0000-0002-5349-1689,30
1579,0000-0003-3986-7659,62
1580,0000-0002-6815-1564,23
1581,0000-0002-4940-4140,4
1582,0000-0003-3623-4725,1
1583,0000-0002-5704-582X,66
1584,0000-0003-4147-6868,25
1585,0000-0001-9087-0218,13
1586,0000-0001-9101-2207,3
1587,0000-0001-8427-118X,82
1588,0000-0003-0474-5344,35
1589,0000-0003-2138-0084,5
1590,0000-0003-2624-0654,23
1591,0000-0002-4654-3110,16
1592,0000-0002-6248-5977,51
1593,0000-0001-5510-6513,38
1594,0000-0002-6311-2611,41
1595,0000-0001-8319-3626,46
1596,0000-0002-4613-1159,26
1597,0000-0003-1800-6040,20
1598,0000-0002-4102-3474,180
1599,0000-0001-9740-0163,14
1600,0000-0002-8513-0335,10
1601,0000-0003-4461-0778,303
1602,0000-0003-0575-2669,63
1603,0000-0002-6074-7101,26
1604,0000-0002-1720-7724,56
1605,0000-0002-8752-8785,93
1606,0000-0001-7123-0100,35
1607,0000-0002-4751-2500,81
1608,0000-0003-1138-6458,60
1609,0000-0002-9584-7030,10
1610,0000-0002-0306-4419,16
1611,0000-0002-9858-0204,30
1612,0000-0002-0599-6332,67
1613,0000-0002-5887-0880,5
1614,0000-0002-3228-2570,27
1615,0000-0002-1436-5823,60
1616,0000-0002-8226-9227,22
1617,0000-0003-1241-1432,3
1618,0000-0001-8063-0974,12
1619,0000-0002-1846-6920,42
1620,0000-0002-1774-8475,17
1621,0000-0002-6633-165X,116
1622,0000-0002-1939-6389,19
1623,0000-0002-2481-7547,11
1624,0000-0002-9361-5009,24
1625,0000-0002-3472-8628,33
1626,0000-0002-3232-2720,27
1627,0000-0002-6067-4600,25
1628,0000-0002-4113-457X,13
1629,0000-0002-9828-6371,11
1630,0000-0003-4228-7866,12
1631,0000-0001-8776-0384,55
1632,0000-0002-7827-6301,10
1633,0000-0003-1661-5192,63
1634,0000-0003-0192-5614,7
1635,0000-0002-4393-0510,259
1636,0000-0001-7810-3964,21
1637,0000-0002-9617-5109,4
1638,0000-0002-8502-6909,49
1639,0000-0003-1000-1376,12
1640,0000-0002-7449-3704,29
1641,0000-0003-0748-1145,30
1642,0000-0001-9423-4032,23
1643,0000-0003-0660-6110,26
1644,0000-0003-0981-2542,27
1645,0000-0001-6657-0864,20
1646,0000-0002-3316-9027,16
1647,0000-0002-0235-9207,42
